tweet_date,city,occur
Mon Apr 30 23:51:50 +0000 2018,"Austin, TX",1
Mon Apr 30 23:32:45 +0000 2018,"Newark, NJ",1
Mon Apr 30 23:28:29 +0000 2018,"Manhattan, NY",1
Mon Apr 30 23:24:08 +0000 2018,Brigham Young University,1
Mon Apr 30 23:16:55 +0000 2018,"East Chicago, IN",1
Mon Apr 30 23:13:29 +0000 2018,"Brooklyn, NY",1
Mon Apr 30 23:04:03 +0000 2018,"San Antonio, TX",1
Mon Apr 30 23:02:55 +0000 2018,Onfield @Fenway,1
Mon Apr 30 22:58:56 +0000 2018,"Naperville, IL",1
Mon Apr 30 22:51:42 +0000 2018,"Manhattan, NY",1
Mon Apr 30 22:39:37 +0000 2018,"Talofofo, USA",1
Mon Apr 30 22:31:29 +0000 2018,"Vacaville, CA",1
Mon Apr 30 22:27:56 +0000 2018,"Twin Falls, ID",1
Mon Apr 30 22:21:53 +0000 2018,"Oklahoma, USA",1
Mon Apr 30 22:19:22 +0000 2018,"Austin, TX",1
Mon Apr 30 22:19:01 +0000 2018,"Brushy Creek, TX",1
Mon Apr 30 22:17:28 +0000 2018,"Coon Rapids, MN",1
Mon Apr 30 22:15:07 +0000 2018,"Live Oak, TX",1
Mon Apr 30 22:07:51 +0000 2018,"Omaha, NE",1
Mon Apr 30 22:04:11 +0000 2018,"Brooklyn, NY",1
Mon Apr 30 21:59:47 +0000 2018,"Edinburg, TX",1
Mon Apr 30 21:58:17 +0000 2018,"Brooklyn, NY",1
Mon Apr 30 21:50:59 +0000 2018,"San Francisco, CA",1
Mon Apr 30 21:41:39 +0000 2018,"Thousand Oaks, CA",1
Mon Apr 30 21:38:49 +0000 2018,"Manhattan, NY",1
Mon Apr 30 21:32:08 +0000 2018,"Baton Rouge, LA",1
Mon Apr 30 21:21:09 +0000 2018,"Manhattan, NY",1
Mon Apr 30 21:17:03 +0000 2018,"Brooklyn, NY",1
Mon Apr 30 21:16:23 +0000 2018,"Roselle, NJ",1
Mon Apr 30 21:08:20 +0000 2018,"Cambridge, MA",1
Mon Apr 30 20:53:55 +0000 2018,"Park Forest Village, PA",1
Mon Apr 30 20:45:13 +0000 2018,"Brookline, MA",1
Mon Apr 30 20:43:22 +0000 2018,"Emerson, NJ",1
Mon Apr 30 20:42:22 +0000 2018,"Atascocita, TX",1
Mon Apr 30 20:41:05 +0000 2018,"Worcester, MA",1
Mon Apr 30 20:39:31 +0000 2018,"Cisco, TX",1
Mon Apr 30 20:39:04 +0000 2018,"Manhattan, NY",1
Mon Apr 30 20:37:15 +0000 2018,Centennial Olympic Park,1
Mon Apr 30 20:32:41 +0000 2018,"Houston, TX",1
